user_id,username,alpha_badge,review_count,account_level,badges
devysaa,Slimybelly,Alfa 2018,299,12,"Kopi,Pizza,Pasta,Sushi,Burger,Dessert,"
Bundarsekali,Bundarsekali,no badge,8,3,no badge
nugraha_natajaya,Nugraha Natajaya,no badge,1,1,no badge
killian_salvatore,Share Your Coffee,no badge,2,1,no badge
wulan_fitri_anggraeni,Wulan Fitri Anggraeni,no badge,8,2,no badge
syarif_hidayat,Eshasyarif,no badge,4,1,no badge
chochowinter,Meiviana Qurotul Aini,no badge,2,1,no badge
abigaillin,abigail lin,Alfa 2019,278,12,"Ramen,Chinese Food,Dimsum,Kopi,Bakmi,Pasta,Sushi,Dessert,"
deri_juana,Deri Juana,no badge,2,1,no badge
bellyculinary,Belly Culinary,Alfa 2018,142,10,"Bakmi,Pasta,Dessert,"
lipsmackingjournal,Angie Katarina,Alfa 2021,553,14,"Steak,Chinese Food,BBQ,Kopi,Bakmi,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
natadenia,Nathania Kusuma,no badge,107,8,"Dessert,"
jessica_sisy,Jessica Sisy,Alfa 2021,796,17,"Steak,Chinese Food,Dimsum,Seafood,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
Magdalena,nyam nyam,no badge,65,8,no badge
septiananf,Septiana Iia,no badge,6,2,no badge
DeeAndKids,DeeAndKids,no badge,5,2,no badge
michael_wenadi,MWenadiBase,Alfa 2021,936,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
VianVardian,@eatandclicks Vian & Christine,Alfa 2018,445,13,"Kopi,Bakmi,Pasta,Burger,Dessert,"
lily_arisandi,Komentator Isenk,Alfa 2021,1145,17,"Steak,Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
rk_tj,heiyika,Alfa 2019,633,14,"Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Pasta,Sushi,Dessert,Bubble Tea,"
lets.culinary,lets.culinary,no badge,1,1,no badge
putera_bagas_andika,Putera Bagas Andika,no badge,71,7,"Kopi,"
Evelyn7,Evelyn Nathania,no badge,5,1,no badge
cheeryl_angelina,cheeryl angelina,no badge,1,1,no badge
myfaireatale,Shanne,no badge,4,1,no badge
IGFOODLER,Cantika | IGFOODLER,Alfa 2018,348,12,"Seafood,Kopi,Pasta,Dessert,Bubble Tea,"
boyke,boyke,no badge,2,1,no badge
Tirta,Tirta Lie,Alfa 2018,1690,19,"Ramen,Chinese Food,Dimsum,Seafood,Kopi,Bakmi,Sushi,Dessert,Bubble Tea,"
arif_supriyatna,Arif Su,no badge,11,3,no badge
relly_rinaldi,Relly Rinaldi,no badge,1,1,no badge
Riahariani12,Riahariani12,no badge,2,1,no badge
AsahiAsry,Asahi Asry | @aci.kulineran,no badge,69,8,"Kopi,"
Newtraveller2018,Eatandtravelsstory,no badge,74,8,no badge
margaretha_helena,Margaretha Helena #Marufnbstory,Alfa 2021,544,14,"Steak,Ramen,Chinese Food,BBQ,Kopi,Bakmi,Pizza,Pasta,Sushi,Burger,Dessert,Bubble Tea,"
grab_bites,@GrabandBites,no badge,77,8,"Dessert,"
jojoajahs,Jojo,no badge,5,2,no badge
